ID,Section,Feature Name,Description (100 chars),Status,Complexity Estimate,Blocking Features
293,"Section 18","Cross-sell in cart + CartCrossSellSection","CartCrossSellSection shows You might also like below cart items. Fetches cross-sell for first cart i","FAILING","MEDIUM",""
294,"Section 18","SmartStickyCTA on mobile product detail","SmartStickyCTA fixed bottom bar on mobile (<768px) shows price + Add to Cart button. Only visible wh","FAILING","MEDIUM",""
295,"Section 18","RecentlyViewed v1 (localStorage)","useRecentlyViewed hook stores viewed products in localStorage (max 20; FIFO). RecentlyViewedCarousel","FAILING","MEDIUM",""
296,"Section 18","Exit-intent warning on checkout","When user moves mouse toward browser chrome on checkout (desktop only); AlertDialog shows warning wi","FAILING","MEDIUM",""
297,"Section 18","Cart item links + undo on remove","Cart item images and titles are clickable links to product detail page. Removing item shows sonner t","FAILING","MEDIUM",""
298,"Section 18","Mobile search in StorefrontHeader","Search icon button visible on mobile (sm:hidden) in StorefrontHeader. Clicking opens full-width sear","FAILING","MEDIUM",""
299,"Section 19","Trending materialized view + API","trending_products materialized view aggregates product_daily_metrics over 7 days with weighted score","FAILING","MEDIUM",""
300,"Section 19","Social proof on product detail (SocialProofToast + ScarcityIndicator)","GET /api/products/[id]/social-proof returns viewsToday; ordersThisWeek from product_daily_metrics. S","FAILING","MEDIUM",""
301,"Section 19","FreeShippingProgressBar in cart","FreeShippingProgressBar shows progress toward free shipping threshold (50 EUR default). Uses shadcn/","FAILING","MEDIUM",""
302,"Section 19","Product bundles (tables + API + UI)","product_bundles and bundle_items tables exist. Admin can create bundles with discount. Frontend disp","FAILING","MEDIUM",""
303,"Section 19","Admin labels dashboard + compare_at_price in product editor","Admin labels page shows all product_labels with filters. Admin product editor has Compare at price i","FAILING","MEDIUM",""
304,"Section 19","SmartStickyCTA v2 (variant selector + quantity)","SmartStickyCTA enhanced with variant dropdown selector and +/- quantity buttons. Shows compare_at_pr","FAILING","MEDIUM",""
305,"Section 20","Affiliate products table + click tracking","affiliate_products table exists with affiliate_url; commission_rate; related_categories[]. affiliate","FAILING","MEDIUM",""
306,"Section 20","AffiliateBlock on product detail with EU disclosure","AffiliateBlock shows Complement your purchase section on product detail page with contextual affilia","FAILING","MEDIUM",""
307,"Section 20","Admin affiliate CRUD + analytics","Admin /affiliates page with table; create/edit dialog; and analytics section showing total clicks; t","FAILING","MEDIUM",""
308,"Section 21","Popup campaigns table + impressions tracking","popup_campaigns table with display_type; trigger_type; frequency_cap; exclude_pages defaulting to /c","FAILING","MEDIUM",""
309,"Section 21","PopupManager enforces max 1 per session + checkout exclusion","PopupManager provider evaluates trigger conditions. STRICTLY enforces: max 1 popup per session (sess","FAILING","MEDIUM",""
310,"Section 21","All 4 popup display types render correctly","CampaignModal (Dialog); CampaignSlideIn (Sheet); CampaignBanner (top bar); and contextual popup all ","FAILING","MEDIUM",""
311,"Section 21","Exit-intent detection hook","useExitIntent hook detects desktop mouseleave (clientY < 10) and mobile visibilitychange. Fires call","FAILING","MEDIUM",""
312,"Section 21","Admin campaign CRUD + analytics","Admin /campaigns page with table; create/edit form; and analytics showing impressions; clicks; CTR; ","FAILING","MEDIUM",""
313,"Section 22","Seasonal themes table with 5 pre-seeded themes","seasonal_themes table exists with animation_type CHECK; theme_config JSONB; banner_config JSONB; css","FAILING","MEDIUM",""
314,"Section 22","useSeasonalTheme hook + SeasonalBanner","useSeasonalTheme fetches active seasonal theme by date range. SeasonalBanner shows configurable bann","FAILING","MEDIUM",""
315,"Section 22","Seasonal animations (CSS/Canvas, <16ms, user-togglable)","SeasonalAnimation renders lightweight animation. Respects prefers-reduced-motion. User toggle button","FAILING","MEDIUM",""
316,"Section 22","SeasonalCSSOverrides (temporary variable injection)","SeasonalCSSOverrides reads css_overrides from active seasonal theme and injects temporary CSS variab","FAILING","MEDIUM",""
317,"Section 22","Admin seasonal themes management","Admin /seasonal page with calendar view of theme date ranges. Create/Edit form with date pickers; an","FAILING","MEDIUM",""
318,"Section 19","Admin bundles CRUD page","Admin /bundles page with create/edit form. Select products for bundle; set discount type and value. ","FAILING","MEDIUM",""
319,"Section 18","Product labels API with caching","GET /api/products/[id]/labels returns labels from product_labels table. Cached with stale-while-reva","FAILING","MEDIUM",""
320,"Section 18","RecentlyViewed tracking in ProductDetailClient","ProductDetailClient calls useRecentlyViewed.addViewed(product) on mount. Shop page renders RecentlyV","FAILING","MEDIUM",""
321,"Section 18","Cart item product links","Cart item images and titles are clickable Link components pointing to /{locale}/shop/{product_id}. U","FAILING","MEDIUM",""
322,"Section 5","Add portal columns to categories table","ALTER categories ADD is_portal BOOLEAN DEFAULT false; portal_description_en TEXT; portal_description","FAILING","HIGH",""
323,"Section 5","GET /api/portals returns portal categories","GET /api/portals API route returns active portal categories with product counts and subcategory info","FAILING","MEDIUM",""
324,"Section 5","GET /api/portals/[slug] returns portal detail","GET /api/portals/[slug] API route returns portal detail: portal info + subcategories + products grou","FAILING","MEDIUM",""
325,"Section 4","StorePortalGrid component","StorePortalGrid component renders a grid of PortalCard components. grid-cols-2 mobile; grid-cols-3 m","FAILING","MEDIUM",""
326,"Section 4","PortalCard component","PortalCard component: background image (portal_hero_image or gradient fallback); gradient overlay; p","FAILING","MEDIUM",""
327,"Section 4","Shop page shows portal grid above products","Modify /shop page.tsx Server Component to fetch portals from categories table (is_portal = true) and","FAILING","MEDIUM",""
328,"Section 4","Portal page /shop/portal/[slug]","New Server Component at /shop/portal/[slug]/page.tsx. Fetches portal info + subcategories + products","FAILING","MEDIUM",""
329,"Section 4","PortalHero component","PortalHero: full-width banner with portal hero image as background (or gradient fallback); gradient ","FAILING","MEDIUM",""
330,"Section 4","CategoryPillBar component","Horizontal scrollable bar of subcategory pills. Uses shadcn Button variant='outline' size='sm' with ","FAILING","MEDIUM",""
331,"Section 4","SubcategorySection component","Section heading (subcategory name i18n from categories name_[locale]) + ProductGrid of max 8 product","FAILING","MEDIUM",""
332,"Section 4","Portal page SEO metadata","Portal page has generateMetadata() with portal name and description. JSON-LD CollectionPage schema w","FAILING","MEDIUM",""
333,"Section 4","Portal i18n translations","Add shop.portal namespace to en.json; es.json; de.json with: exploreCollection; viewAll; productsInC","FAILING","MEDIUM",""
334,"Section 5","Admin portal management page","Admin /portals page to edit portal descriptions; hero images; colors; and reorder portals. Uses admi","FAILING","MEDIUM",""
335,"Section 5","Reorganize category hierarchy for 5 portals","Migration to ensure categories table has correct parent_id hierarchy for 5 portals. Add missing subc","FAILING","HIGH",""
